OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,Address,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,ListOfAllPropertyUseTypes,LargestPropertyUseType,ENERGYSTARScore,SiteEUIWN(kBtu/sf),TotalGHGEmissions
23,2016,NonResidential,Hotel,515 Madison Street,DOWNTOWN,47.60681,-122.33078,1983,1.0,28,"Hotel, Parking",Hotel,31.0,98.59999847,802.89
24,2016,NonResidential,Mixed Use Property,820 4th Ave.,DOWNTOWN,47.60515,-122.33159,1907,1.0,5,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meeting Hall,75.0,137.1000061,273.02
25,2016,NonResidential,Hotel,700 3rd Ave,DOWNTOWN,47.60376,-122.33194,1916,1.0,10,Hotel,Hotel,39.0,97.30000305,349.32
26,2016,NonResidential,Other,516 3RD AVE,DOWNTOWN,47.60265,-122.33051,1916,1.0,10,Courthouse,Courthouse,76.0,87.5,1265.29
27,2016,NonResidential,Other,500 5TH AVE,DOWNTOWN,47.60378,-122.32842,1985,1.0,19,Other,Other,75.0,128.6000061,1699.45
28,2016,SPS-District K-12,K-12 School,5149 S. Graham St.,SOUTHEAST,47.54576,-122.26853,1961,1.0,2,K-12 School,K-12 School,95.0,29.10000038,38.53
29,2016,NonResidential,Hotel,4242 ROOSEVELT WAY NE,NORTHEAST,47.65959,-122.31755,2001,1.0,6,"Hotel, Parking",Hotel,84.0,63.29999924,90.01
30,2016,NonResidential,University,1000 Lenora St.,DOWNTOWN,47.61816,-122.33629,1928,1.0,7,College/University,College/University,75.0,97.5,388.04
31,2016,NonResidential,Other,1015 & 1017 Olive Way,DOWNTOWN,47.615,-122.33081,1930,1.0,2,Automobile Dealership,Automobile Dealership,75.0,19.5,9.13
32,2016,NonResidential,Hotel,1011 Pike ST,EAST,47.61301,-122.32929,1991,1.0,8,"Hotel, Parking, Retail Store, Swimming Pool",Hotel,75.0,46.29999924,256.57
33,2016,NonResidential,Hotel,1800 Yale Ave,DOWNTOWN,47.61784,-122.32966,2001,1.0,10,Hotel,Hotel,57.0,86.69999695,328.63
34,2016,SPS-District K-12,K-12 School,301/300 21st Ave. E.,CENTRAL,47.62266,-122.30547,1955,1.0,1,K-12 School,K-12 School,75.0,0.0,0.0
35,2016,NonResidential,Hotel,2200 5th ave,DOWNTOWN,47.61558,-122.34186,1978,1.0,5,Hotel,Hotel,57.0,95.0,128.44
36,2016,SPS-District K-12,K-12 School,11051 34th Ave. N.E.,NORTH,47.70994,-122.29301,1949,1.0,2,K-12 School,K-12 School,75.0,47.5,270.18
37,2016,SPS-District K-12,K-12 School,201 Garfield St.,MAGNOLIA / QUEEN ANNE,47.6329,-122.35172,1989,1.0,2,K-12 School,K-12 School,75.0,0.0,10.43
38,2016,NonResidential,Small- and Mid-Sized Office,4649 Sunnyside Ave. N.,LAKE UNION,47.6641,-122.33118,1906,1.0,3,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",Office,75.0,69.80000305,157.77
40,2016,NonResidential,Hotel,5036 25th Ave NE,NORTHEAST,47.66583,-122.29965,1994,1.0,4,Hotel,Hotel,29.0,82.19999695,215.0
41,2016,NonResidential,Self-Storage Facility,2746 Ne 45th St Suite 100,NORTHEAST,47.66172,-122.29598,1955,1.0,2,Self-Storage Facility,Self-Storage Facility,75.0,12.39999962,3.93
43,2016,Campus,Mixed Use Property,7755 E MARGINAL WAY S,GREATER DUWAMISH,47.53493,-122.31788,1992,1.0,3,"Energy/Power Station, Laboratory, Manufacturing/Industrial Plant, Non-Refrigerated Warehouse, Office",Office,8.0,233.1000061,16870.98
46,2016,NonResidential,Warehouse,3301 S NORFOLK ST,GREATER DUWAMISH,47.51138,-122.28875,1961,3.0,2,"Non-Refrigerated Warehouse, Office, Refrigerated Warehouse",Non-Refrigerated Warehouse,75.0,45.79999924,311.84
50,2016,SPS-District K-12,K-12 School,4000 27th Ave. W.,MAGNOLIA / QUEEN ANNE,47.65671,-122.39047,1990,1.0,2,K-12 School,K-12 School,97.0,32.79999924,31.47
51,2016,SPS-District K-12,K-12 School,3003 N.E. 75th St.,NORTHEAST,47.68252,-122.29498,1950,1.0,2,K-12 School,K-12 School,88.0,40.09999847,266.05
52,2016,NonResidential,Small- and Mid-Sized Office,5305 Shilshole Ave NW,BALLARD,47.66587,-122.38476,1961,1.0,2,"Non-Refrigerated Warehouse, Office",Office,57.0,68.90000153,130.56
53,2016,NonResidential,Small- and Mid-Sized Office,2524 16th Ave S,GREATER DUWAMISH,47.58034,-122.31132,1900,1.0,2,"Office, Other - Education",Office,83.0,53.5,83.86
54,2016,NonResidential,K-12 School,8200 Wallingford Ave. N,NORTHWEST,47.68891,-122.33553,1954,1.0,3,K-12 School,K-12 School,95.0,45.09999847,247.85
55,2016,NonResidential,Self-Storage Facility,11 Vine Street,DOWNTOWN,47.61351,-122.35129,1911,1.0,3,"Office, Self-Storage Facility, Vocational School",Self-Storage Facility,75.0,33.09999847,45.43
56,2016,NonResidential,Hotel,1301 Sixth Ave,DOWNTOWN,47.60946,-122.33337,1969,1.0,24,Hotel,Hotel,67.0,46.40000153,295.33
57,2016,NonResidential,Large Office,413 Pine Street,DOWNTOWN,47.6113,-122.33659,1973,1.0,5,"Data Center, Office, Retail Store",Office,78.0,56.29999924,66.48
58,2016,NonResidential,Other,1525 4th Ave,DOWNTOWN,47.61076,-122.33765,1920,1.0,2,"Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc)",Other - Mall,75.0,21.60000038,33.26
59,2016,NonResidential,Small- and Mid-Sized Office,1520 3rd Ave,DOWNTOWN,47.61048,-122.33794,1910,1.0,8,"Office, Retail Store",Office,14.0,88.30000305,35.36
60,2016,NonResidential,Mixed Use Property,1401 3rd Avenue,DOWNTOWN,47.60886,-122.33744,1926,1.0,2,"Office, Other - Entertainment/Public Assembly, Restaurant",Other - Entertainment/Public Assembly,75.0,299.0,584.31
62,2016,NonResidential,Hotel,1531 7th Ave,DOWNTOWN,47.61233,-122.33432,1930,1.0,20,"Hotel, Parking, Restaurant",Hotel,71.0,57.29999924,59.19
63,2016,NonResidential,Hotel,1400 6th Avenue,DOWNTOWN,47.61087,-122.33339,1982,1.0,34,"Hotel, Parking, Swimming Pool",Hotel,63.0,82.80000305,2451.58
65,2016,NonResidential,Hotel,86 Pine St,DOWNTOWN,47.60997,-122.34138,1985,1.0,7,"Hotel, Parking, Restaurant, Retail Store",Hotel,98.0,93.09999847,134.38
66,2016,NonResidential,Hotel,1926 2nd Ave,DOWNTOWN,47.61155,-122.34114,1908,1.0,7,"Hotel, Other - Entertainment/Public Assembly, Retail Store",Hotel,99.0,49.59999847,227.18
67,2016,NonResidential,Hotel,618 JOHN ST,LAKE UNION,47.61986,-122.34413,1959,1.0,5,"Hotel, Parking",Hotel,86.0,76.90000153,144.79
68,2016,NonResidential,Hotel,211 Dexter Ave N,LAKE UNION,47.62001,-122.34274,2000,1.0,7,Hotel,Hotel,84.0,61.79999924,199.95
69,2016,NonResidential,Hotel,226 Aurora Ave N,LAKE UNION,47.62025,-122.34314,1997,1.0,6,Hotel,Hotel,80.0,67.09999847,162.39
70,2016,NonResidential,Hotel,206 Western Ave West,MAGNOLIA / QUEEN ANNE,47.62023,-122.35951,1998,1.0,6,Hotel,Hotel,81.0,44.0,152.76
73,2016,NonResidential,K-12 School,1617 Interlaken Drive East,EAST,47.63442,-122.30793,1911,1.0,3,K-12 School,K-12 School,76.0,67.80000305,146.34
77,2016,NonResidential,Hotel,601 Roy St,MAGNOLIA / QUEEN ANNE,47.62519,-122.34456,1999,1.0,4,"Hotel, Parking",Hotel,94.0,69.0,171.64
82,2016,NonResidential,Small- and Mid-Sized Office,1700 E. Cherry St,CENTRAL,47.60823,-122.30956,1962,1.0,2,Office,Office,71.0,66.0,87.98
84,2016,NonResidential,Senior Care Community,4831 35th Ave SW,SOUTHWEST,47.55837,-122.37751,1922,1.0,5,"Parking, Senior Care Community",Senior Care Community,54.0,153.6999969,1727.11
85,2016,NonResidential,Senior Care Community,13023 Greenwood Ave. N,NORTHWEST,47.72426,-122.35599,1970,1.0,2,Senior Care Community,Senior Care Community,1.0,181.6000061,609.1
86,2016,NonResidential,Hotel,207 Pontius Ave N,LAKE UNION,47.61988,-122.33211,2008,1.0,6,"Hotel, Parking",Hotel,74.0,59.79999924,67.06
87,2016,SPS-District K-12,K-12 School,3701 S.W. 104th St.,SOUTHWEST,47.5097,-122.37759,1948,1.0,2,K-12 School,K-12 School,75.0,0.0,4.19
89,2016,NonResidential,Medical Office,1200 Harvard Ave,EAST,47.61244,-122.3214,1965,0.0,3,Medical Office,Medical Office,48.0,92.30000305,430.84
95,2016,NonResidential,Hotel,900 Madison St.,EAST,47.60898,-122.32693,1908,1.0,7,Hotel,Hotel,71.0,94.59999847,262.75
96,2016,NonResidential,Mixed Use Property,921 Terry Ave.,EAST,47.60845,-122.32637,1983,1.0,6,"Data Center, Medical Office, Non-Refrigerated Warehouse, Office, Other, Parking",Medical Office,75.0,207.3000031,481.97
98,2016,NonResidential,Retail Store,400 Westlake Ave N,LAKE UNION,47.62237,-122.33805,1929,1.0,2,Retail Store,Retail Store,96.0,17.20000076,39.06
100,2016,NonResidential,Large Office,551 Boren Ave. North,LAKE UNION,47.62424,-122.33646,2010,1.0,5,"Office, Other, Parking, Retail Store",Office,96.0,48.40000153,138.85
102,2016,NonResidential,Hotel,800 Fairview Ave. N,LAKE UNION,47.62642,-122.33325,1990,1.0,7,"Hotel, Parking",Hotel,37.0,85.59999847,526.85
103,2016,Nonresidential COS,Other,334 1st Ave. N,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1962,1.0,1,Other,Other,75.0,64.5,607.41
104,2016,Nonresidential COS,Other,151 Mercer St.,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1962,1.0,1,Other,Other,75.0,125.9000015,344.2
106,2016,Nonresidential COS,Other,305 Harrison St.,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1938,1.0,5,Other,Other,75.0,76.30000305,804.2
107,2016,NonResidential,Large Office,333 Boren Ave. N.,LAKE UNION,47.62112,-122.33629,2010,1.0,12,"Office, Other, Parking",Office,91.0,64.19999695,617.52
110,2016,Nonresidential COS,Other,225 Mercer St.,MAGNOLIA / QUEEN ANNE,47.62395,-122.35077,1962,1.0,2,Other,Other,75.0,51.59999847,101.83
111,2016,Nonresidential COS,Other,363 Mercer St.,MAGNOLIA / QUEEN ANNE,47.62395,-122.35077,1928,1.0,1,Other,Other,75.0,8.100000381,6.11
112,2016,Nonresidential COS,Other,321 Mercer St.,MAGNOLIA / QUEEN ANNE,47.62395,-122.35143,1928,1.0,2,Other,Other,75.0,70.30000305,490.73
113,2016,NonResidential,Small- and Mid-Sized Office,401 Mercer St,MAGNOLIA / QUEEN ANNE,47.62391,-122.34837,1986,0.0,2,"Data Center, Distribution Center, Office, Parking, Retail Store",Office,75.0,75.40000153,29.04
114,2016,NonResidential,Large Office,500 5th Ave N,MAGNOLIA / QUEEN ANNE,47.62419,-122.34443,2010,1.0,6,"Office, Other, Parking",Office,93.0,51.79999924,674.09
115,2016,NonResidential,Small- and Mid-Sized Office,221 1st Ave. W,MAGNOLIA / QUEEN ANNE,47.62053,-122.35842,1970,1.0,4,"Office, Other, Parking",Office,68.0,71.59999847,48.76
116,2016,NonResidential,Hotel,425 queen anne ave N.,MAGNOLIA / QUEEN ANNE,47.62291,-122.35708,2002,1.0,6,"Hotel, Parking",Hotel,56.0,87.90000153,152.14
117,2016,NonResidential,Hotel,4140 ROOSEVELT WAY NE,NORTHEAST,47.65772,-122.31756,1962,2.0,4,"Hotel, Swimming Pool",Hotel,53.0,110.5,191.2
118,2016,SPS-District K-12,K-12 School,1901 SW Genesee St.,DELRIDGE,47.5636,-122.358,1999,1.0,3,K-12 School,K-12 School,75.0,0.0,11.84
119,2016,NonResidential,K-12 School,700 18th Ave. E.,EAST,47.62548,-122.30828,1923,1.0,3,K-12 School,K-12 School,34.0,44.79999924,78.85
120,2016,NonResidential,K-12 School,728 21st Ave East,EAST,47.62644,-122.30429,1908,1.0,6,K-12 School,K-12 School,100.0,37.09999847,243.23
121,2016,NonResidential,Small- and Mid-Sized Office,2100 24th Ave S,SOUTHEAST,47.58408,-122.30125,2003,1.0,3,"Office, Parking",Office,63.0,78.19999695,34.14
122,2016,SPS-District K-12,K-12 School,3301 S. Horton St.,SOUTHEAST,47.57324,-122.29058,1991,1.0,2,K-12 School,K-12 School,75.0,0.0,16.36
125,2016,SPS-District K-12,K-12 School,1600 Columbian Way S.,GREATER DUWAMISH,47.56413,-122.31208,1957,1.0,1,K-12 School,K-12 School,61.0,54.29999924,238.48
127,2016,SPS-District K-12,K-12 School,5215 46th Ave. S.,SOUTHEAST,47.55478,-122.27596,1989,1.0,3,K-12 School,K-12 School,93.0,29.20000076,20.48
130,2016,SPS-District K-12,K-12 School,1915 1st Ave. W.,MAGNOLIA / QUEEN ANNE,47.63683,-122.35896,1964,1.0,2,K-12 School,K-12 School,86.0,34.5,84.75
131,2016,NonResidential,Other,1208 NE 64th st,NORTHEAST,47.67524,-122.31534,1941,1.0,4,Other,Other,75.0,129.8999939,44.32
132,2016,NonResidential,Other,6417 Roosevelt Way NE # 18-28,NORTHEAST,47.67559,-122.31769,1929,1.0,2,"Other, Parking",Other,75.0,36.79999924,133.58
136,2016,NonResidential,Hotel,14115 Aurora Ave N,NORTHWEST,47.73141,-122.3458,2001,1.0,4,"Hotel, Parking",Hotel,89.0,70.40000153,127.29
137,2016,SPS-District K-12,K-12 School,13052 Greenwood Ave. N.,NORTHWEST,47.72463,-122.35315,1963,1.0,2,K-12 School,K-12 School,88.0,32.5,124.92
138,2016,SPS-District K-12,K-12 School,1819 N. 135th St.,NORTHWEST,47.7257,-122.33684,1959,1.0,1,K-12 School,K-12 School,92.0,52.40000153,443.73
139,2016,NonResidential,Hotel,13300 Stone Avenue N,NORTHWEST,47.72551,-122.3423,2002,1.0,3,Hotel,Hotel,78.0,47.09999847,89.02
140,2016,SPS-District K-12,K-12 School,3921 Linden Ave. N.,LAKE UNION,47.65464,-122.34912,1991,1.0,3,K-12 School,K-12 School,75.0,0.0,14.67
144,2016,NonResidential,Hotel,1007 First Ave.,DOWNTOWN,47.6048,-122.3368,1904,1.0,5,"Hotel, Parking",Hotel,98.0,34.09999847,142.39
145,2016,Nonresidential COS,Other,200 University Street,DOWNTOWN,47.60804,-122.3367,1998,1.0,6,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,75.0,78.40000153,429.12
147,2016,NonResidential,Hospital,5300 Tallman Ave NW,BALLARD,47.66737,-122.37956,1954,4.0,5,"Hospital (General Medical & Surgical), Parking",Hospital (General Medical & Surgical),14.0,157.3000031,1990.5
148,2016,SPS-District K-12,K-12 School,5601 4th Ave. N.W.,BALLARD,47.6706,-122.36225,1991,1.0,2,K-12 School,K-12 School,93.0,27.10000038,10.55
163,2016,Nonresidential COS,Other,105 5th Ave S,DOWNTOWN,47.60112,-122.32785,2006,1.0,4,"Office, Other",Other,75.0,132.6999969,176.75
167,2016,NonResidential,Other,719 South King Street,DOWNTOWN,47.59809,-122.32283,1910,1.0,4,Museum,Museum,75.0,36.09999847,46.26
168,2016,NonResidential,Hotel,700 5th Ave N.,MAGNOLIA / QUEEN ANNE,47.62614,-122.3467,1996,1.0,4,"Hotel, Parking",Hotel,76.0,70.5,228.4
169,2016,SPS-District K-12,K-12 School,3013 S. Mt. Baker Blvd.,SOUTHEAST,47.57589,-122.29365,1990,1.0,4,K-12 School,K-12 School,90.0,33.0,170.84
170,2016,NonResidential,University,801 E PINE ST,EAST,47.61495,-122.32177,1915,1.0,3,College/University,College/University,75.0,50.70000076,74.33
172,2016,Campus,University,6000 16th Ave SW,DELRIDGE,47.547,-122.35307,1970,27.0,2,College/University,College/University,75.0,85.19999695,866.23
173,2016,NonResidential,Small- and Mid-Sized Office,6901Sand Point Way NE,NORTHEAST,47.67828,-122.26456,2002,1.0,2,"Data Center, Office",Office,75.0,167.3999939,222.02
174,2016,Nonresidential COS,Other,805 S Charles St,GREATER DUWAMISH,47.59545,-122.32146,1950,1.0,1,"Repair Services (Vehicle, Shoe, Locksmith, etc)","Repair Services (Vehicle, Shoe, Locksmith, etc)",75.0,118.3000031,204.08
175,2016,SPS-District K-12,K-12 School,400 23rd Ave.,CENTRAL,47.60598,-122.30156,2008,1.0,3,K-12 School,K-12 School,60.0,58.20000076,359.09
176,2016,SPS-District K-12,K-12 School,9709 60th Ave. S.,SOUTHEAST,47.51482,-122.25864,2001,1.0,3,K-12 School,K-12 School,92.0,34.0,56.82
177,2016,SPS-District K-12,K-12 School,1121 33rd Ave.,CENTRAL,47.61224,-122.29087,2002,1.0,3,K-12 School,K-12 School,79.0,38.5,41.74
178,2016,SPS-District K-12,K-12 School,8311 Beacon Ave S,GREATER DUWAMISH,47.52915,-122.28904,2000,1.0,3,K-12 School,K-12 School,88.0,38.5,94.64
179,2016,NonResidential,Small- and Mid-Sized Office,3800 S Othello St,GREATER DUWAMISH,47.53827,-122.28406,1958,1.0,1,"Office, Other",Office,75.0,88.69999695,61.21
180,2016,NonResidential,Other,3802 S Othello St,GREATER DUWAMISH,47.53722,-122.284,2009,1.0,5,"Food Service, Office, Other - Lodging/Residential",Other - Lodging/Residential,75.0,25.0,100.46
182,2016,NonResidential,University,3469 3rd Ave. W,MAGNOLIA / QUEEN ANNE,47.65147,-122.36122,1980,1.0,2,College/University,College/University,75.0,83.40000153,104.26
183,2016,NonResidential,Residence Hall,500 W. Emerson,MAGNOLIA / QUEEN ANNE,47.65068,-122.36331,2001,1.0,4,Residence Hall/Dormitory,Residence Hall/Dormitory,89.0,35.40000153,129.39
185,2016,SPS-District K-12,K-12 School,17050 30th Ave. N.E.,NORTH,47.70763,-122.29453,2011,1.0,2,"K-12 School, Parking",K-12 School,96.0,38.90000153,222.78
187,2016,NonResidential,Other,1211 E Alder Street,CENTRAL,47.60462,-122.31549,1971,3.0,6,"Courthouse, Other",Other,75.0,65.69999695,422.39
189,2016,SPS-District K-12,K-12 School,144 N.W. 80th St.,NORTHWEST,47.68725,-122.35996,2002,1.0,3,K-12 School,K-12 School,96.0,35.09999847,54.07
338,2016,NonResidential,Other,1900 9th Ave.,DOWNTOWN,47.61598,-122.33448,2004,1.0,11,Other,Other,75.0,264.0,2055.82
190,2016,NonResidential,Small- and Mid-Sized Office,7343 E Marginal Way S,GREATER DUWAMISH,47.536,-122.31768,2007,1.0,3,"Non-Refrigerated Warehouse, Office, Other - Services",Office,21.0,62.5,49.58
194,2016,NonResidential,Retail Store,401 Northgate Way,NORTH,47.70759,-122.3255,1951,1.0,1,"Restaurant, Retail Store",Retail Store,98.0,54.29999924,723.47
195,2016,NonResidential,Other,10631 8th Ave NE,NORTH,47.7066,-122.321,1964,1.0,3,Other/Specialty Hospital,Other/Specialty Hospital,75.0,163.1000061,231.53
197,2016,NonResidential,Retail Store,401 NE Northgate Way,NORTH,47.70619,-122.32586,1965,1.0,4,Retail Store,Retail Store,76.0,71.59999847,66.3
198,2016,NonResidential,Hospital,4800 Sand Point Way NE,NORTHEAST,47.66231,-122.28146,1953,6.0,10,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),10.0,293.2000122,8145.52
200,2016,NonResidential,Other,11027 Meridian N #102,NORTHWEST,47.70956,-122.3345,1996,1.0,3,"Financial Office, Medical Office, Parking",Financial Office,72.0,88.90000153,83.7
205,2016,SPS-District K-12,K-12 School,1418 N.W. 65th St.,BALLARD,47.67661,-122.37489,1999,1.0,2,K-12 School,K-12 School,80.0,40.0,123.71
209,2016,NonResidential,Self-Storage Facility,1111 E. Madison,EAST,47.61233,-122.3171,1910,1.0,5,Self-Storage Facility,Self-Storage Facility,75.0,18.89999962,51.11
211,2016,Campus,University,9600 COLLEGE WAY N,NORTHWEST,47.69936,-122.33401,1970,11.0,2,College/University,College/University,75.0,56.09999847,362.82
212,2016,SPS-District K-12,K-12 School,3928 S. Graham St.,SOUTHEAST,47.54632,-122.28198,1952,1.0,2,K-12 School,K-12 School,79.0,40.59999847,242.36
214,2016,SPS-District K-12,K-12 School,5950 Delridge Way S.W.,DELRIDGE,47.54862,-122.36214,1963,1.0,1,K-12 School,K-12 School,75.0,45.59999847,206.01
215,2016,NonResidential,Warehouse,5628 Airport Way South,GREATER DUWAMISH,47.55152,-122.31869,1904,1.0,4,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,61.0,21.10000038,69.44
216,2016,SPS-District K-12,K-12 School,8815 Seward Park Ave S.,SOUTHEAST,47.52407,-122.26586,1960,1.0,2,K-12 School,K-12 School,86.0,54.70000076,328.97
217,2016,SPS-District K-12,K-12 School,9201 15th Ave. NW.,BALLARD,47.69675,-122.3776,1959,1.0,1,K-12 School,K-12 School,75.0,0.0,229.38
220,2016,NonResidential,Warehouse,4786 First Ave S,GREATER DUWAMISH,47.55901,-122.33328,1937,1.0,1,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,87.0,33.59999847,297.43
223,2016,NonResidential,Retail Store,2600 SW Barton St,DELRIDGE,47.52254,-122.36627,1966,1.0,1,Retail Store,Retail Store,72.0,46.09999847,35.78
224,2016,NonResidential,Retail Store,2600 SW Barton St,DELRIDGE,47.52254,-122.36627,1965,1.0,1,Retail Store,Retail Store,37.0,141.5,369.14
225,2016,SPS-District K-12,K-12 School,2601 SW Kenyon / 2600 SW Thistle,DELRIDGE,47.52915,-122.36511,2010,1.0,2,K-12 School,K-12 School,97.0,36.09999847,272.85
226,2016,SPS-District K-12,K-12 School,9430 30th Ave. S.W.,DELRIDGE,47.51778,-122.37074,1958,1.0,1,K-12 School,K-12 School,86.0,50.90000153,73.47
227,2016,SPS-District K-12,K-12 School,2101 S. Jackson,CENTRAL,47.59796,-122.30415,1963,1.0,3,K-12 School,K-12 School,75.0,0.0,170.9
228,2016,NonResidential,Other,3014 NW 67th St.,BALLARD,47.67767,-122.39631,1973,1.0,3,Other,Other,75.0,37.29999924,59.34
229,2016,SPS-District K-12,K-12 School,6725 45th Ave S,SOUTHEAST,47.54174,-122.27691,2004,1.0,2,K-12 School,K-12 School,92.0,33.59999847,46.36
230,2016,NonResidential,Self-Storage Facility,6343 35th Ave SW,SOUTHWEST,47.54508,-122.37737,1969,1.0,2,Self-Storage Facility,Self-Storage Facility,75.0,30.29999924,48.99
231,2016,SPS-District K-12,K-12 School,1610 N. 41st St.,LAKE UNION,47.65708,-122.33803,2010,1.0,3,K-12 School,K-12 School,75.0,39.09999847,80.08
232,2016,NonResidential,Hotel,1150 Fairview Ave N,LAKE UNION,47.62972,-122.32906,1998,1.0,5,"Hotel, Parking, Swimming Pool",Hotel,79.0,78.09999847,309.6
233,2016,Nonresidential COS,Other,860 Terry Ave N,LAKE UNION,47.62759,-122.33661,1900,1.0,1,Museum,Museum,75.0,184.6999969,225.69
234,2016,Nonresidential COS,Warehouse,802 Roy St,MAGNOLIA / QUEEN ANNE,47.62591,-122.34084,1926,1.0,2,"Non-Refrigerated Warehouse, Office, Other - Services, Residence Hall/Dormitory",Non-Refrigerated Warehouse,75.0,8.0,3.0
235,2016,NonResidential,Hotel,925 Westlake Ave North,MAGNOLIA / QUEEN ANNE,47.62782,-122.34045,1998,1.0,7,Hotel,Hotel,76.0,83.0,338.16
237,2016,SPS-District K-12,K-12 School,1320 NW 75th St.,BALLARD,47.68359,-122.37308,1999,1.0,2,K-12 School,K-12 School,89.0,36.29999924,49.12
238,2016,Nonresidential COS,Small- and Mid-Sized Office,1300 N 97th ST,NORTHWEST,47.70044,-122.34136,1957,1.0,2,"Data Center, Distribution Center, Office, Other, Parking",Office,75.0,106.0999985,175.77
239,2016,SPS-District K-12,K-12 School,4320 SW Myrtle,SOUTHWEST,47.54025,-122.3885,1991,1.0,3,K-12 School,K-12 School,97.0,25.70000076,21.29
241,2016,NonResidential,Hotel,2140 N. Northgate Way,NORTHWEST,47.70916,-122.33216,1968,1.0,4,Hotel,Hotel,70.0,95.69999695,208.26
242,2016,SPS-District K-12,K-12 School,504 N.E. 95th St.,NORTH,47.69823,-122.32126,1989,1.0,2,K-12 School,K-12 School,75.0,0.0,0.0
243,2016,SPS-District K-12,K-12 School,7201 Beacon Ave. S.,GREATER DUWAMISH,47.53809,-122.29591,1925,1.0,1,K-12 School,K-12 School,87.0,58.5,168.88
244,2016,NonResidential,Small- and Mid-Sized Office,76-80 S washington st,DOWNTOWN,47.60105,-122.33518,1900,1.0,3,"Office, Restaurant, Self-Storage Facility",Office,78.0,38.59999847,28.27
