,identifiant_unique_client,nombre_commandes,montant_total_acheté,panier_moyen,note_moyenne,taux_avis,types_paiement_utilisés,paiement_en_plusieurs_fois,moyenne_nbre_paiements,variete_categories,dernier_achat,premier_achat,etat_client,code_postal_client,cp_etats_clients,recence,anciennete,frequence_commande_mensuelle,jours_entre_commandes_moyen
11,00082cbe03e478190aadbea78542e933,1,126.26,126.26,5.0,1.0,1,0.0,1.0,1,2017-11-19,2017-11-19,São Paulo,18400,01000,288,1,30.0,1.0
12,00090324bbad0e9342388303bb71ba0a,1,63.66,63.66,5.0,1.0,1,1.0,3.0,1,2018-03-24,2018-03-24,São Paulo,13054,01000,163,1,30.0,1.0
13,000949456b182f53c18b68d6babc79c1,1,82.05,82.05,4.0,1.0,1,0.0,1.0,1,2018-04-23,2018-04-23,São Paulo,9613,01000,133,1,30.0,1.0
14,000a5ad9c4601d2bbdd9ed765d5213b3,1,91.28,91.28,4.0,1.0,1,1.0,3.0,1,2017-08-11,2017-08-11,Rio Grande do Sul,90560,90000,388,1,30.0,1.0
15,000bfa1d2f1a41876493be685390d6d3,1,46.85,46.85,5.0,1.0,1,1.0,4.0,1,2017-09-29,2017-09-29,São Paulo,11095,01000,339,1,30.0,1.0
16,000c8bdb58a29e7115cfc257230fb21b,1,29.0,29.0,5.0,1.0,1,1.0,2.0,1,2017-12-12,2017-12-12,Minas Gerais,31555,30000,265,1,30.0,1.0
17,000d460961d6dbfa3ec6c9f5805769e1,1,36.68,36.68,5.0,1.0,1,0.0,1.0,1,2018-01-07,2018-01-07,São Paulo,1206,01000,239,1,30.0,1.0
18,000de6019bb59f34c099a907c151d855,1,514.88,257.44,2.0,1.0,1,1.0,4.0,1,2017-08-17,2017-08-17,São Paulo,11612,01000,382,1,30.0,1.0
19,000e309254ab1fc5ba99dd469d36bdb4,1,8.53,8.53,3.0,1.0,1,0.0,1.0,1,2018-06-25,2018-06-25,Goiás,72872,74000,70,1,30.0,1.0
20,000ec5bff359e1c0ad76a81a45cb598f,1,27.75,27.75,5.0,1.0,1,0.0,1.0,1,2018-08-21,2018-08-21,São Paulo,18160,01000,13,1,30.0,1.0
21,000ed48ceeb6f4bf8ad021a10a3c7b43,1,20.75,20.75,5.0,1.0,1,0.0,1.0,1,2018-05-20,2018-05-20,São Paulo,1303,01000,106,1,30.0,1.0
22,000fbf0473c10fc1ab6f8d2d286ce20c,1,1449.52,362.38,5.0,1.0,1,0.0,1.0,2,2018-07-26,2018-07-26,São Paulo,13330,01000,39,1,30.0,1.0
23,0010a452c6d13139e50b57f19f52e04e,1,325.93,325.93,1.0,1.0,1,1.0,10.0,1,2017-07-11,2017-07-11,Rio Grande do Sul,95611,90000,419,1,30.0,1.0
24,0010fb34b966d44409382af9e8fd5b77,1,61.8,61.8,4.0,1.0,1,1.0,6.0,1,2018-03-05,2018-03-05,São Paulo,4321,01000,182,1,30.0,1.0
25,001147e649a7b1afd577e873841632dd,1,424.32,212.16,4.0,1.0,1,0.0,1.0,1,2017-08-31,2017-08-31,Paraná,87020,80000,368,1,30.0,1.0
26,00115fc7123b5310cf6d3a3aa932699e,1,76.11,76.11,4.0,1.0,1,0.0,1.0,1,2017-01-21,2017-01-21,Distrito Federal,71015,70000,590,1,30.0,1.0
27,0011805441c0d1b68b48002f1d005526,1,297.14,297.14,3.0,1.0,1,1.0,10.0,1,2017-04-24,2017-04-24,Pará,68639,66000,497,1,30.0,1.0
28,0011857aff0e5871ce5eb429f21cdaf5,1,192.83,192.83,5.0,1.0,1,1.0,3.0,1,2017-06-28,2017-06-28,São Paulo,9070,01000,432,1,30.0,1.0
29,0011c98589159d6149979563c504cb21,1,117.94,117.94,5.0,1.0,1,1.0,5.0,1,2017-08-05,2017-08-05,Minas Gerais,38970,30000,394,1,30.0,1.0
30,0012929d977a8d7280bb277c1e5f589d,1,155.65,155.65,1.0,1.0,1,0.0,1.0,1,2017-10-17,2017-10-17,Rio Grande do Sul,92010,90000,321,1,30.0,1.0
31,0014a5a58da615f7b01a4f5e194bf5ea,1,99.82,99.82,5.0,1.0,1,1.0,3.0,1,2018-01-18,2018-01-18,São Paulo,1407,01000,228,1,30.0,1.0
32,0015752e079902b12cd00b9b7596276b,1,149.64,74.82,5.0,1.0,1,1.0,3.0,1,2018-08-02,2018-08-02,São Paulo,3169,01000,32,1,30.0,1.0
33,00172711b30d52eea8b313a7f2cced02,1,122.07,122.07,4.0,1.0,1,1.0,2.0,1,2018-07-28,2018-07-28,Bahia,45200,40000,37,1,30.0,1.0
34,00191a9719ef48ebb5860b130347bf33,1,58.86,58.86,3.0,1.0,1,1.0,2.0,1,2017-04-19,2017-04-19,São Paulo,13240,01000,502,1,30.0,1.0
35,001926cef41060fae572e2e7b30bd2a4,1,182.42,91.21,4.0,1.0,1,0.0,1.0,1,2017-08-17,2017-08-17,Mato Grosso,78515,78000,382,1,30.0,1.0
36,001928b561575b2821c92254a2327d06,1,329.62,164.81,2.0,1.0,1,1.0,6.0,1,2018-08-24,2018-08-24,São Paulo,4757,01000,10,1,30.0,1.0
37,00196c4c9a3af7dd2ad10eade69c926f,1,37.58,37.58,5.0,1.0,1,0.0,1.0,1,2018-07-28,2018-07-28,São Paulo,13287,01000,37,1,30.0,1.0
38,00196fdb2bf9edfc35e88ebfbcf8d781,1,27.0,27.0,3.0,1.0,1,0.0,1.0,1,2018-02-22,2018-02-22,Rio Grande do Sul,92323,90000,193,1,30.0,1.0
39,0019da6aa6bcb27cc32f1249bd12da05,1,87.71,87.71,1.0,1.0,1,0.0,1.0,1,2018-02-11,2018-02-11,São Paulo,13484,01000,204,1,30.0,1.0
40,0019e8c501c85848ac0966d45226fa1d,1,197.27,197.27,5.0,1.0,1,1.0,2.0,1,2018-05-01,2018-05-01,Mato Grosso,78015,78000,125,1,30.0,1.0
41,001a2bf0e46c684031af91fb2bce149d,1,36.73,36.73,4.0,1.0,1,0.0,1.0,1,2017-06-29,2017-06-29,São Paulo,3071,01000,431,1,30.0,1.0
42,001a34eb30ecb8e3aacb07c475ca4dd1,1,161.71,161.71,5.0,1.0,1,0.0,1.0,1,2018-07-11,2018-07-11,São Paulo,4078,01000,54,1,30.0,1.0
43,001a3a8e11d76c9a366c31a4aa2cc529,1,24.23,24.23,5.0,1.0,1,0.0,1.0,1,2018-05-21,2018-05-21,Rio Grande do Sul,90840,90000,105,1,30.0,1.0
44,001ae5a1788703d64536c30362503e49,1,135.08,135.08,5.0,1.0,1,0.0,1.0,1,2017-12-08,2017-12-08,Rio de Janeiro,27276,20000,269,1,30.0,1.0
45,001deb796b28a3a128d6113857569aa4,1,63.33,63.33,4.0,1.0,1,1.0,6.0,1,2018-06-22,2018-06-22,Rio de Janeiro,20541,20000,73,1,30.0,1.0
46,001f3c4211216384d5fe59b041ce1461,1,35.84,35.84,3.0,1.0,1,1.0,3.0,1,2017-03-19,2017-03-19,São Paulo,8240,01000,533,1,30.0,1.0
47,002043098f10ba39a4600b6c52fbfe3c,1,237.81,237.81,4.0,1.0,1,1.0,4.0,1,2017-03-26,2017-03-26,Sergipe,49015,49000,526,1,30.0,1.0
48,002311514717ca8b65b09a26cdf7b91a,1,124.32,124.32,5.0,1.0,1,1.0,2.0,1,2018-06-27,2018-06-27,São Paulo,7114,01000,68,1,30.0,1.0
49,0023557a94bef0038066b5d1b3dc763e,1,107.44,107.44,3.0,1.0,1,1.0,2.0,1,2018-03-28,2018-03-28,São Paulo,15105,01000,159,1,30.0,1.0
50,002471155ecd08d208d1376720e2a907,1,92.18,92.18,5.0,1.0,1,1.0,3.0,1,2018-08-08,2018-08-08,Santa Catarina,88311,88000,26,1,30.0,1.0
51,00256bf7b05c08f6a5849df3d0a64f1f,1,57.73,57.73,3.0,1.0,1,0.0,1.0,1,2018-06-01,2018-06-01,São Paulo,4503,01000,94,1,30.0,1.0
52,0025795df7a7d077c4c90162fa820085,1,428.16,214.08,1.0,1.0,1,1.0,3.0,1,2018-07-24,2018-07-24,São Paulo,2323,01000,41,1,30.0,1.0
53,0027324a96d26a2bc7d69262f83c8403,1,46.78,46.78,5.0,1.0,1,1.0,2.0,1,2018-03-25,2018-03-25,São Paulo,12220,01000,162,1,30.0,1.0
54,0028a7d8db7b0247652509358ad8d755,1,61.33,61.33,3.0,1.0,1,0.0,1.0,1,2017-12-13,2017-12-13,São Paulo,13273,01000,264,1,30.0,1.0
55,0028cfeb9dfcd3628a56d5b6400deef5,1,118.2,118.2,5.0,1.0,1,0.0,1.0,1,2018-01-07,2018-01-07,São Paulo,14150,01000,239,1,30.0,1.0
56,00293787e2aec37a9c253b63fdfe2049,1,515.74,257.87,3.0,1.0,1,0.0,1.0,1,2017-10-27,2017-10-27,Rio de Janeiro,21380,20000,311,1,30.0,1.0
57,0029bd580d3012618731f5abb174a07f,1,52.38,52.38,2.0,1.0,1,0.0,1.0,1,2017-11-02,2017-11-02,São Paulo,8225,01000,305,1,30.0,1.0
58,002aba8c1af80acacef6e011f9f23262,1,217.74,217.74,1.0,1.0,1,1.0,3.0,1,2018-02-27,2018-02-27,Rio de Janeiro,23860,20000,188,1,30.0,1.0
59,002ae492472e45ad6ebeb7a625409392,1,437.32,218.66,3.0,1.0,1,1.0,4.0,1,2017-10-08,2017-10-08,Distrito Federal,72547,70000,330,1,30.0,1.0
60,002b4cd83fabaffaa475f78ea5ef3e08,1,64.42,64.42,2.0,1.0,1,0.0,1.0,1,2017-02-01,2017-02-01,Minas Gerais,37950,30000,579,1,30.0,1.0
61,002bdeb33da5b1b3ce8b9c822f749c82,1,38.09,38.09,5.0,1.0,1,0.0,1.0,1,2017-12-05,2017-12-05,Santa Catarina,88130,88000,272,1,30.0,1.0
62,002cdf87d4c03f08f7eb4551a923affc,1,228.67,228.67,1.0,1.0,1,1.0,10.0,1,2017-10-31,2017-10-31,São Paulo,13183,01000,307,1,30.0,1.0
63,002d3bd901608f67c3fc11eaaa842b13,1,28.76,28.76,4.0,1.0,1,0.0,1.0,1,2018-01-15,2018-01-15,São Paulo,9133,01000,231,1,30.0,1.0
64,002d71b244beb91ca7030b15ab526446,1,130.56,130.56,5.0,1.0,1,0.0,1.0,1,2017-05-22,2017-05-22,São Paulo,18900,01000,469,1,30.0,1.0
65,002da6dde369f6a8b4c999ed61eb5a87,1,52.38,52.38,5.0,1.0,1,0.0,1.0,1,2018-04-12,2018-04-12,São Paulo,4711,01000,144,1,30.0,1.0
66,002eb8b96288f3804e21d2777ac29895,1,137.99,137.99,5.0,1.0,1,1.0,6.0,1,2017-07-22,2017-07-22,Minas Gerais,32655,30000,408,1,30.0,1.0
67,002ed12115742033f015cb3c269ccf68,1,109.79,109.79,5.0,1.0,1,1.0,3.0,1,2018-01-30,2018-01-30,São Paulo,9271,01000,216,1,30.0,1.0
68,002ef00822613c94613e60e03b169fef,1,114.04,114.04,4.0,1.0,1,1.0,6.0,1,2018-02-14,2018-02-14,Paraná,85200,80000,201,1,30.0,1.0
69,002feefec5af0a3b26ee7839c66d205e,1,77.57,77.57,1.0,1.0,1,0.0,1.0,1,2017-10-29,2017-10-29,Rio de Janeiro,22745,20000,309,1,30.0,1.0
70,003035f5ec76f2220098377482de93c9,1,62.47,62.47,5.0,1.0,1,1.0,3.0,1,2017-08-28,2017-08-28,Minas Gerais,35500,30000,371,1,30.0,1.0
71,003162bf0351f47a1a247992b8b9b42d,1,536.6,536.6,5.0,1.0,1,1.0,10.0,1,2018-07-14,2018-07-14,Espírito Santo,29160,29000,51,1,30.0,1.0
72,00324c9f4d710e7bac5c5ba679714430,1,31.73,31.73,5.0,1.0,1,0.0,1.0,1,2017-06-21,2017-06-21,Tocantins,77600,77000,439,1,30.0,1.0
73,0032c76b20340da25249092a268ce66c,1,144.94,144.94,4.0,1.0,1,0.0,1.0,1,2016-10-06,2016-10-06,São Paulo,13515,01000,697,1,30.0,1.0
74,0032ca69771a7758ce643258bb9e4ac7,1,62.45,62.45,5.0,1.0,1,1.0,2.0,1,2018-07-16,2018-07-16,São Paulo,2242,01000,49,1,30.0,1.0
75,0033f4a2887e07e25aa1204d482f41ba,1,425.04,425.04,5.0,1.0,1,0.0,1.0,1,2018-06-26,2018-06-26,Bahia,41815,40000,69,1,30.0,1.0
76,00344274804f3b8003de1b0562ae01df,1,226.23,226.23,3.0,1.0,1,1.0,5.0,1,2018-07-09,2018-07-09,Pernambuco,56360,50000,56,1,30.0,1.0
77,0034c76b7e6a17d738375b99afc2f01e,1,44.23,44.23,5.0,1.0,1,0.0,1.0,1,2018-05-07,2018-05-07,Minas Gerais,37660,30000,119,1,30.0,1.0
78,0035029989e6fc5cf030918a5f9f2037,1,1092.24,546.12,5.0,1.0,1,0.0,1.0,1,2018-05-12,2018-05-12,São Paulo,4438,01000,114,1,30.0,1.0
79,003650b504826ea534e02eba0ab58dd5,1,21.77,21.77,4.0,1.0,1,1.0,2.0,1,2018-01-17,2018-01-17,São Paulo,5887,01000,229,1,30.0,1.0
80,0036a074f98b80c4f1fc33dbbcf9c552,1,42.62,42.62,5.0,1.0,1,0.0,1.0,1,2017-05-12,2017-05-12,Rio Grande do Sul,98900,90000,479,1,30.0,1.0
81,0036b4a3d09ad551a5188c2e374da402,1,162.77,162.77,4.0,1.0,1,1.0,10.0,1,2017-08-09,2017-08-09,Paraná,87020,80000,390,1,30.0,1.0
82,0036d365b138cc0ee06bed755bcb5044,1,109.5,109.5,5.0,1.0,1,0.0,1.0,1,2018-01-31,2018-01-31,Bahia,44770,40000,215,1,30.0,1.0
83,00370dfde3d012c420d29657afc2fc8b,1,237.0,237.0,4.0,1.0,1,0.0,1.0,1,2018-01-29,2018-01-29,Rio Grande do Sul,96930,90000,217,1,30.0,1.0
84,00377a18050b898b93e2c774be9947db,1,65.78,65.78,2.0,1.0,1,0.0,1.0,1,2017-11-25,2017-11-25,Mato Grosso,78065,78000,282,1,30.0,1.0
85,0037aa56b017c105c3a9d47af71fff98,1,443.73,443.73,3.0,1.0,1,1.0,2.0,1,2018-01-26,2018-01-26,Minas Gerais,31580,30000,220,1,30.0,1.0
86,0037d2bbb9ebc39d9114aea27ee16d72,1,143.73,143.73,5.0,1.0,1,0.0,1.0,1,2017-03-27,2017-03-27,São Paulo,5011,01000,525,1,30.0,1.0
87,0037eb1ff742ee2e71ba887f65f3c6f3,1,228.79,228.79,5.0,1.0,1,1.0,5.0,1,2017-07-13,2017-07-13,Pernambuco,54280,50000,417,1,30.0,1.0
88,003800162424b7b5b3d75c9cf22a66e7,1,107.81,107.81,5.0,1.0,1,1.0,2.0,1,2018-04-01,2018-04-01,Bahia,44059,40000,155,1,30.0,1.0
89,00391594070baf8603f5fdc1d0c6a48c,1,119.32,119.32,3.0,1.0,1,0.0,1.0,1,2018-08-05,2018-08-05,São Paulo,16021,01000,29,1,30.0,1.0
90,003a5571a07dcf09bf117d13d2980ba3,1,181.82,181.82,5.0,1.0,1,1.0,2.0,1,2018-07-25,2018-07-25,Bahia,40270,40000,40,1,30.0,1.0
91,003a7a8eb096ed3cbf713d2def1ca701,1,157.46,157.46,5.0,1.0,1,0.0,1.0,1,2018-08-14,2018-08-14,Maranhão,65790,65000,20,1,30.0,1.0
92,003ac9408252444b489b1bfc013f5f8c,1,36.98,36.98,5.0,1.0,1,0.0,1.0,1,2018-03-16,2018-03-16,São Paulo,18180,01000,171,1,30.0,1.0
93,003ae409f37c3c30cb1c974af3a42692,1,216.32,216.32,3.0,1.0,1,0.0,1.0,1,2018-08-15,2018-08-15,Minas Gerais,33400,30000,19,1,30.0,1.0
94,003c2067070f5b3d923235b1ea1cc17b,1,147.38,147.38,3.0,1.0,1,0.0,1.0,1,2018-08-06,2018-08-06,Ceará,63575,60000,28,1,30.0,1.0
95,003c457932a554e4df13834237b1ed00,1,142.51,142.51,5.0,1.0,1,0.0,1.0,1,2018-01-05,2018-01-05,São Paulo,18030,01000,241,1,30.0,1.0
96,003d56767e53e08671de00da3fba8d40,1,178.59,178.59,5.0,1.0,1,1.0,8.0,1,2017-12-01,2017-12-01,Minas Gerais,37505,30000,276,1,30.0,1.0
97,003db7adfcdc49857b095a50191b6c9d,1,542.66,542.66,4.0,1.0,1,1.0,10.0,1,2018-05-02,2018-05-02,São Paulo,8615,01000,124,1,30.0,1.0
98,003e28cb6fab8a0901bff9229612375f,1,137.26,137.26,5.0,1.0,1,0.0,1.0,1,2017-03-13,2017-03-13,Paraná,82560,80000,539,1,30.0,1.0
99,003e2af81ea3c72fbdd093f07724a4de,1,127.48,63.74,4.0,1.0,1,1.0,2.0,1,2018-04-16,2018-04-16,São Paulo,2420,01000,140,1,30.0,1.0
100,003f4901fdb60ae9c1e2538b84c208e1,1,162.79,162.79,5.0,1.0,1,1.0,2.0,1,2017-11-19,2017-11-19,Distrito Federal,73255,70000,288,1,30.0,1.0
101,003fb95e849e71e732629d94bb92762f,1,77.59,77.59,5.0,1.0,1,1.0,4.0,1,2018-07-30,2018-07-30,São Paulo,14709,01000,35,1,30.0,1.0
102,003fee4ca17927283128c7ddc6f9311b,1,103.47,103.47,3.0,1.0,1,0.0,1.0,1,2018-05-08,2018-05-08,Rio de Janeiro,28610,20000,118,1,30.0,1.0
103,004177f7bf62929186b32c7fdaa6157b,1,867.96,433.98,1.0,1.0,1,0.0,1.0,1,2017-10-19,2017-10-19,Rio de Janeiro,22745,20000,319,1,30.0,1.0
104,004256f082951ec189a4962b6788c214,1,259.15,259.15,5.0,1.0,1,0.0,1.0,1,2018-03-23,2018-03-23,São Paulo,1231,01000,164,1,30.0,1.0
105,004288347e5e88a27ded2bb23747066c,2,354.37,177.185,5.0,1.0,1,1.0,2.0,2,2018-01-14,2017-07-27,Rio de Janeiro,26220,20000,232,172,0.3488372093023256,86.0
106,0042dcca0ae57aaec6e808edc31a2d48,1,85.04,85.04,4.0,1.0,1,1.0,3.0,1,2017-12-02,2017-12-02,Alagoas,57082,57000,275,1,30.0,1.0
107,0042dfa8925d6eb23e471ec350454f04,1,62.91,62.91,5.0,1.0,1,0.0,1.0,1,2018-07-25,2018-07-25,São Paulo,13175,01000,40,1,30.0,1.0
108,0043d65f8039b4a4d43bc7b0f450ac2c,1,64.42,64.42,5.0,1.0,1,1.0,3.0,1,2017-04-20,2017-04-20,Minas Gerais,30570,30000,501,1,30.0,1.0
109,00444f48f6c9b55657e49435ce3a97ca,1,52.38,52.38,4.0,1.0,1,1.0,4.0,1,2017-06-09,2017-06-09,Minas Gerais,38401,30000,451,1,30.0,1.0
110,00446a03d7a34d191507c9e42870d0a5,1,128.95,128.95,5.0,1.0,1,1.0,8.0,1,2017-03-06,2017-03-06,São Paulo,2235,01000,546,1,30.0,1.0
111,004493e0b0a37317d25665d340c0677d,1,83.32,83.32,3.0,1.0,1,1.0,3.0,1,2018-06-06,2018-06-06,Rio de Janeiro,21235,20000,89,1,30.0,1.0
112,0045e9ad4d6c85d2323a7ab374b76183,1,24.13,24.13,5.0,1.0,1,0.0,1.0,1,2018-06-19,2018-06-19,Minas Gerais,36200,30000,76,1,30.0,1.0
113,0046311f458d8041b00063cb99482903,1,112.33,112.33,5.0,1.0,1,1.0,4.0,1,2017-08-01,2017-08-01,São Paulo,8270,01000,398,1,30.0,1.0
114,0047f3e16441284d757a8963344f6c59,1,76.18,76.18,4.0,1.0,1,0.0,1.0,1,2017-08-28,2017-08-28,São Paulo,18680,01000,371,1,30.0,1.0
115,0048706e497cfba0b689e1e3497bc99e,1,82.65,82.65,4.0,1.0,1,1.0,3.0,1,2018-08-15,2018-08-15,São Paulo,14870,01000,19,1,30.0,1.0
116,0048a779a98a7848514096ff04046079,1,41.04,41.04,5.0,1.0,1,1.0,2.0,1,2018-08-08,2018-08-08,Minas Gerais,32041,30000,26,1,30.0,1.0
117,0049a16516d38fc2246696172a257f16,1,32.77,32.77,5.0,1.0,1,1.0,3.0,1,2017-12-29,2017-12-29,São Paulo,2840,01000,248,1,30.0,1.0
118,0049dadc30da6a277c1e9d371df5a66f,1,26.01,26.01,3.0,1.0,1,0.0,1.0,1,2017-06-13,2017-06-13,Distrito Federal,70680,70000,447,1,30.0,1.0
119,0049db44bfd6cee26ac9c649329ff6ea,1,218.08,109.04,2.0,1.0,1,0.0,1.0,1,2017-03-07,2017-03-07,São Paulo,13420,01000,545,1,30.0,1.0
120,0049ec2d7a5818d0e4b3f4735cec2458,1,44.18,44.18,5.0,1.0,1,0.0,1.0,1,2018-07-19,2018-07-19,Paraná,86041,80000,46,1,30.0,1.0
121,004a432489f6630c6dfd3fc4454603f5,1,84.01,84.01,5.0,1.0,1,0.0,1.0,1,2017-12-16,2017-12-16,Paraná,81010,80000,261,1,30.0,1.0
122,004b45ec5c64187465168251cd1c9c2f,2,147.72,73.86,3.0,1.0,1,0.0,1.0,2,2018-05-26,2017-09-01,Alagoas,57055,57000,100,268,0.22388059701492538,134.0
123,004b9b1634b7becda8eec4e96bced882,1,158.74,158.74,5.0,1.0,1,0.0,1.0,1,2018-08-05,2018-08-05,São Paulo,9240,01000,29,1,30.0,1.0
124,004d17fa2cb102a7c4817f040c884e59,1,39.78,39.78,5.0,1.0,1,0.0,1.0,1,2018-02-13,2018-02-13,São Paulo,5625,01000,202,1,30.0,1.0
125,004df63539fd5e38d4b0a0506de7549c,1,993.55,993.55,3.0,1.0,1,1.0,10.0,1,2018-07-16,2018-07-16,Pará,68743,66000,49,1,30.0,1.0
126,004ed862ea4e55f18868d3d782d10879,1,109.29,109.29,3.0,1.0,1,0.0,1.0,1,2017-08-06,2017-08-06,São Paulo,9725,01000,393,1,30.0,1.0
127,004f84d065096f3cedd26cf0adc80b9d,1,378.16,189.08,4.0,1.0,1,1.0,8.0,1,2018-04-25,2018-04-25,São Paulo,13040,01000,131,1,30.0,1.0
128,00504b68faa074d0f40adcb4f7727f71,1,397.4,198.7,3.0,1.0,1,1.0,3.0,1,2018-08-11,2018-08-11,Rio de Janeiro,26700,20000,23,1,30.0,1.0
129,0050dcff37f8b9ff611d245e30572b46,1,68.22,68.22,5.0,1.0,1,0.0,1.0,1,2018-05-02,2018-05-02,Rio Grande do Sul,97700,90000,124,1,30.0,1.0
130,00522457bba00bba576a34fd9b4808fd,1,127.98,127.98,5.0,1.0,1,1.0,2.0,1,2017-04-01,2017-04-01,São Paulo,2402,01000,520,1,30.0,1.0
131,005226be8d5b972d0f72b4e8a79f322b,1,1600.51,1600.51,5.0,1.0,1,1.0,10.0,1,2018-04-01,2018-04-01,Rio de Janeiro,22280,20000,155,1,30.0,1.0
132,00539155ce68fbe677934aebdb17e09b,1,58.25,58.25,4.0,1.0,1,0.0,1.0,1,2018-04-29,2018-04-29,São Paulo,8290,01000,127,1,30.0,1.0
133,00543330561a9088f8b3879114a7b008,1,73.96,73.96,5.0,1.0,1,0.0,1.0,1,2017-11-24,2017-11-24,Bahia,48370,40000,283,1,30.0,1.0
134,0055b522bc89cbfbf376d8b59a628470,1,364.75,364.75,5.0,1.0,1,0.0,1.0,1,2017-03-03,2017-03-03,Ceará,60851,60000,549,1,30.0,1.0
135,0055bbb9c95f6acb8db89d1f6c316407,1,83.23,83.23,5.0,1.0,1,0.0,1.0,1,2018-02-14,2018-02-14,Santa Catarina,88810,88000,201,1,30.0,1.0
136,0056c2dd794a5eede6164dcae635875a,1,171.88,171.88,5.0,1.0,1,1.0,6.0,1,2018-08-08,2018-08-08,Minas Gerais,39270,30000,26,1,30.0,1.0
137,0056f26cb8f20916c3baa0e39fc30709,1,109.23,109.23,5.0,1.0,1,1.0,3.0,1,2018-03-31,2018-03-31,São Paulo,6186,01000,156,1,30.0,1.0
138,005754cb59f8ee5cdbb5cda9d138757e,1,516.76,258.38,5.0,1.0,1,1.0,4.0,1,2018-07-21,2018-07-21,Rio de Janeiro,27910,20000,44,1,30.0,1.0
139,00575b2023dedcc0f3e81a938834689b,1,32.38,32.38,4.0,1.0,1,0.0,1.0,1,2017-11-04,2017-11-04,Paraná,86680,80000,303,1,30.0,1.0
140,0057f64bff87f4698b4cbd338d62a2a8,1,82.86,82.86,4.0,1.0,1,1.0,3.0,1,2018-08-21,2018-08-21,São Paulo,2566,01000,13,1,30.0,1.0
141,0058e7db269cc11558913b42beb115d0,1,78.88,78.88,4.0,1.0,1,0.0,1.0,1,2018-05-18,2018-05-18,São Paulo,13026,01000,108,1,30.0,1.0
142,0058f300f57d7b93c477a131a59b36c3,2,159.12,79.56,3.0,1.0,1,0.0,1.0,2,2018-03-22,2018-02-19,Bahia,41370,40000,165,32,1.875,16.0
143,0059acd36094bf670ec8b21be6c0044c,1,46.69,46.69,5.0,1.0,1,0.0,1.0,1,2017-06-12,2017-06-12,Minas Gerais,37545,30000,448,1,30.0,1.0
144,005d8faa4cf789cf52fb880a8569880a,1,89.25,89.25,5.0,1.0,1,0.0,1.0,1,2018-05-11,2018-05-11,Distrito Federal,72150,70000,115,1,30.0,1.0
145,005e32bc930906dc6b65fb9d11cce3e2,1,49.6,49.6,5.0,1.0,1,1.0,4.0,1,2017-09-03,2017-09-03,Rio Grande do Sul,95175,90000,365,1,30.0,1.0
146,005ee3e015ec18092d7782e507cf68fe,1,187.96,187.96,4.0,1.0,1,1.0,4.0,1,2017-10-01,2017-10-01,Acre,69909,69900,337,1,30.0,1.0
147,005f060d4223956c62b64e9567a36f0f,1,777.68,777.68,3.0,1.0,1,1.0,8.0,1,2018-05-22,2018-05-22,São Paulo,13211,01000,104,1,30.0,1.0
